Date,Best epoch,From KPI:,Data size,Num_unrolling,Batch_size,n_predict_once,Dropout,Num_nodes,mse,lincor,mre,rmse,mae,maxae,ae,correct
Fri Jun 21 10:41:53 2019,0,"mae, maxae, ae, correct",5000,25,1000,50,0.4,[50],0.5008,1.4242,0.9053,0.6745,-0.9514,-0.9782,-24.180999999999997,56
Fri Jun 21 10:42:45 2019,5,correct,5000,25,1000,50,0.1,"[50, 50, 50, 150]",0.1495,0.7421,0.4414,0.3504,-0.4897,-0.5428,-12.255,56
Fri Jun 21 10:43:36 2019,4,correct,5000,25,1000,50,0.2,"[50, 50, 50, 150]",0.1917,0.7109,0.5275,0.4069,-0.5705,-0.6671,-14.5293,56
Fri Jun 21 10:44:28 2019,6,"mse, mre, rmse, correct",5000,25,1000,50,0.4,"[50, 50, 50, 150]",0.0492,0.722,0.2226,0.191,-0.2279,-0.1549,-6.8319,56
Fri Jun 21 10:45:09 2019,5,"mse, mre, rmse, correct",5000,25,1000,50,0.1,[200],0.0172,0.8903,0.1406,0.1149,-0.1226,0.322,-3.377,56
Fri Jun 21 10:45:51 2019,5,"mse, mre, rmse, correct",5000,25,1000,50,0.2,[200],0.0148,0.6861,0.1374,0.1107,-0.0809,0.6539,-3.0349,56
Fri Jun 21 10:46:32 2019,5,correct,5000,25,1000,50,0.4,[200],0.0241,0.8741,0.1626,0.1355,-0.1554,0.2541,-4.2666,60
Fri Jun 21 10:47:38 2019,2,"mse, mre, rmse, correct",5000,25,1000,50,0.1,"[200, 200, 200, 150]",0.024,0.9213,0.175,0.1433,-0.0317,1.9304,-2.7721,56
Fri Jun 21 10:48:50 2019,2,correct,5000,25,1000,50,0.2,"[200, 200, 200, 150]",0.0738,0.7247,0.3288,0.254,-0.3508,-0.4533,-8.8718,56
Fri Jun 21 10:50:05 2019,2,"mse, mre, rmse, correct",5000,25,1000,50,0.4,"[200, 200, 200, 150]",0.0181,0.8168,0.1674,0.1247,0.0433,4.0378,-0.3933,56
Fri Jun 21 10:51:03 2019,3,correct,5000,25,1000,50,0.1,[400],0.3129,2.1249,0.634,0.5335,0.635,31.7513,10.4301,56
Fri Jun 21 10:51:53 2019,3,correct,5000,25,1000,50,0.2,[400],0.4274,2.5540000000000003,0.7494,0.6332,0.745,37.2514,11.9542,56
Fri Jun 21 10:52:48 2019,3,correct,5000,25,1000,50,0.4,[400],0.0764,1.3509,0.3081,0.259,0.2678,13.3913,3.4245,56
Fri Jun 21 10:54:31 2019,1,correct,5000,25,1000,50,0.1,"[400, 400, 400, 150]",0.1069,1.5247,0.3919,0.3147,0.3446,17.2319,4.8668,56
Fri Jun 21 10:56:17 2019,7,correct,5000,25,1000,50,0.2,"[400, 400, 400, 150]",0.0208,0.8323,0.1459,0.1234,-0.1286,0.5771,-3.0453,60
Fri Jun 21 10:57:59 2019,1,correct,5000,25,1000,50,0.4,"[400, 400, 400, 150]",0.0703,1.2881,0.3319,0.2541,0.272,13.5987,3.7517,56
